Lineage,Round,Mother.ID,Cohort num,Collection Date,Hatch Date,NextClutch,Mother.length.mm,Eggsac.area.mm2,Offspring.Count,egg1,egg2,egg3,egg4,egg5,egg6,egg7,egg8,egg9,egg10,larva1,larva2,larva3,larva4,larva5,larva6,larva7,larva8,larva9,larva10
11,1,22,2,25/04/2020,28/04/2020,,0.7374,0.0251,1,0.0461,0.0502,0.0437,0.0483,0.054,0.0471,0.0436,0.0435,0.052,0.047,29.7321,,,,,,,,,
11,1,23,1,19/04/2020,22/04/2020,3,0.715,0.0588,29,0.05,0.0563,0.0604,0.0422,0.0504,0.047,0.0383,0.0503,0.0373,0.0406,0.1078,0.1004,0.0963,0.1003,0.0939,0.1005,0.1029,0.0963,0.0963,0.0977
11,1,23,2,23/04/2020,25/04/2020,3,0.7337,0.0519,23,0.054,0.0471,0.057,0.0536,0.0594,0.0604,0.0505,0.0608,0.0522,0.0563,0.106,0.1044,0.1111,0.105,0.1033,0.0978,,,,
11,1,23,3,26/04/2020,28/04/2020,5,0.7174,0.0397,17,0.0543,0.0488,0.0422,0.0459,0.0453,0.0484,0.0441,0.0454,0.0449,0.0402,0.1018,0.1007,0.1022,0.103,0.1035,0.0678,0.0949,0.1016,0.1029,0.0982
11,1,23,4,30/04/2020,3/05/2020,,0.7079,0.0226,13,0.042,0.043,0.0389,0.051,,,,,,,,,,,,,,,,
11,1,26,1,19/04/2020,21/04/2020,10,0.7051,0.0567,49,0.0589,0.0571,0.0483,0.048,0.049,0.0473,0.0478,0.0454,0.0483,0.0522,0.1056,0.0959,0.0974,0.105,0.1027,0.1016,0.1027,0.0972,0.0913,0.1036
11,1,26,2,29/04/2020,1/05/2020,3,0.7226,0.0131,6,0.0506,0.0427,0.0574,0.0579,0.0508,0.0564,,,,,0.0981,0.0875,0.0949,,,,,,,
11,1,26,3,2/05/2020,4/05/2020,,0.6868,0.0245,8,0.0667,0.0581,0.0585,0.0557,0.0671,0.048,,,,,0.0964,0.1047,0.1099,0.1059,,,,,,
,,,1,15/04/2020,,,0.7608,0.0554,,0.0571,0.0647,0.0598,0.0546,0.0632,0.0597,0.0512,0.0543,0.0602,0.0704,,,,,,,,,,
11,1,7,1,16/04/2020,20/04/2020,2,0.7331,0.0848,50,0.0608,0.0697,0.0557,0.0534,0.0658,0.0508,0.0683,0.0634,0.07,0.0674,0.1111,0.1135,0.1117,0.1013,0.0935,0.0984,0.1063,0.104,0.1015,0.1105
11,1,7,2,20/04/2020,22/04/2020,4,0.7191,0.0709,56,0.0448,0.0354,0.043,0.0536,0.0452,0.048,0.0355,0.035,0.0398,0.0386,0.0978,0.1013,0.107,0.0961,0.0955,0.105,0.1001,0.0989,0.0772,0.0978
11,1,7,3,24/04/2020,26/04/2020,,0.7194,0.0456,23,0.0582,0.0594,0.0497,0.0537,0.0563,0.0446,0.0604,0.0522,0.0506,0.0519,0.1019,0.0946,0.1047,0.099,0.1071,0.0983,0.1061,0.1067,0.1102,0.1093
11,1,9,1,15/04/2020,19/04/2020,,0.7627,0.0554,0,0.0606,0.0615,0.0595,0.0627,0.0605,0.0613,0.0669,0.0548,0.0608,0.0577,,,,,,,,,,
4,2,8,1,15/05/2020,18/05/2020,2,0.5984,0.035,32,0.0431,0.0414,0.0386,0.0379,0.042,0.0383,0.033,0.0348,0.0371,0.0364,0.0992,0.0941,0.1017,0.1049,0.1043,0.107,0.1083,0.0948,0.0999,0.1119
4,2,8,2,18/05/2020,20/05/2020,4,0.7512,0.0608,38,0.0453,0.0434,0.0446,0.0434,0.0454,0.0471,0.0406,0.0377,0.0437,0.0464,0.1392,0.1469,0.1493,0.1454,0.1668,0.1606,0.1528,0.1463,0.1437,0.1502
4,2,8,3,23/05/2020,24/05/2020,,0.6732,0.0655,32,0.0569,0.0694,0.0725,0.062,0.0643,0.0566,0.0549,0.0654,0.0609,0.0556,0.0976,0.0999,0.0964,0.1056,0.1041,0.0999,0.1055,0.106,0.1064,0.0963
8,2,10,1,5/06/2020,7/06/2020,7,0.7299,0.0323,9,0.065,0.0702,0.0653,,,,,,,,0.1107,0.1201,0.106,0.0988,0.1124,0.1106,0.123,0.128,0.1193,
8,2,10,2,10/06/2020,14/06/2020,5,0.7523,0.017,2,0.0446,0.0617,0.0548,0.0496,0.0438,0.0546,0.0497,,,,0.1513,0.1278,,,,,,,,
8,2,10,3,16/06/2020,19/06/2020,,0.7482,0.0206,5,0.0559,0.0535,0.0568,0.059,0.0604,,,,,,0.1282,0.1132,0.1455,,,,,,,
8,2,13,2,9/06/2020,12/06/2020,4,0.7187,0.044,15,0.0579,0.0536,0.0523,0.0443,0.0576,0.0544,0.0479,0.0513,0.0502,0.0455,0.1034,0.0998,0.0972,0.1038,0.0962,0.1008,0.0967,0.0982,0.0964,0.091
8,2,13,1,4/06/2020,7/06/2020,5,0.74,0.0432,12,0.0472,0.0433,0.0436,0.0434,0.043,0.047,0.0446,0.055,0.046,0.0428,0.1153,0.1079,0.0994,0.1027,0.1063,0.1131,0.114,0.103,,
